"","mean","sd","2.5%","97.5%","n_eff","Rhat"
"A1[1]",7.45423818987662,0.093433850126997,7.27231950635001,7.63928057915265,288.096437605752,1.0018620889377
"A1[2]",7.43892776010005,0.122166146900413,7.19546850776989,7.67408728381876,356.281753555961,0.999867538063441
"A1[3]",7.71846537451394,0.15801257253182,7.42096742949217,8.03293910992417,548.913667908819,0.999795794490408
"A1[4]",7.66993835252006,0.167761715295748,7.32940656776967,7.99244491956519,442.200122406258,1.00187747326322
"A1[5]",8.09455795536097,0.21492683391731,7.69689811094273,8.53260822961692,546.93507199198,1.00010627006347
"A1[6]",8.78136333988888,0.296828398544993,8.2097055133916,9.37395805580142,782.455675877549,0.999617180698513
"A1[7]",9.96231505189692,0.507782039929952,8.96809676538276,10.9347666727581,646.018178748262,1.00153308410675
"A1[8]",11.3247570905599,0.715205308809951,9.92954581901463,12.6744735861853,404.617776993612,1.00947390036378
"A1[9]",11.4785186504443,0.581574413239561,10.3234488692877,12.5716667433902,172.630677874863,1.01193591528031
"A2[1]",7.8278503346303,0.0510523087593921,7.72895899397635,7.92476723438407,265.76877345256,1.00387921365696
"A2[2]",7.41156906179453,0.068489259501173,7.27123257588982,7.53684580992172,400.211735650827,1.00222723899806
"A2[3]",7.91079417896953,0.0878630479716653,7.73408767222958,8.08261528174662,566.783902098933,1.00165050327947
"A2[4]",7.35235886322561,0.0920313237337465,7.16928051245583,7.52814717525517,430.322225886338,1.00031814306101
"A2[5]",7.51183011019557,0.120467947917751,7.2844907155027,7.75421217198118,625.306768156985,0.999986662314685
"A2[6]",7.13263729958516,0.166823479680554,6.80207407817049,7.4684980035048,629.908981250572,0.999478145355839
"A2[7]",7.29324090235226,0.287759574874341,6.72262639300664,7.8397256940353,606.380431613557,1.0021470350115
"A2[8]",6.01795851032766,0.399493042482172,5.23037077025224,6.81399922358079,505.80116351227,1.00661762845656
"A2[9]",6.21662411379427,0.331810471341266,5.56177114691162,6.855954635765,209.530029331268,1.00981204998935
"A3[1]",3.28256040942825,0.0726302768030486,3.14021634471945,3.42357258361524,408.522500810675,1.00220793772803
"A3[2]",2.97898677271843,0.114515589313525,2.74909870724041,3.19731155942111,458.13373314089,1.00477889676309
"A3[3]",3.15980723342552,0.156629844736822,2.85578618738155,3.46847359493691,732.820488393099,1.00002476027775
"A3[4]",2.76108811343464,0.177643102559745,2.39827844421213,3.09077474267626,585.895173915821,1.00512286679633
"A3[5]",2.64638081422183,0.244170014458771,2.1814210927415,3.16122043652297,782.734066039612,1.00437772191522
"A3[6]",2.21275875899891,0.334936305201704,1.54763793174857,2.88612451050614,756.09159572226,1.00249458063305
"A3[7]",2.99322239997027,0.557754716006463,1.88379343591193,4.12012903203969,725.052904309131,1.00022109907554
"A3[8]",0.146016400422535,0.771276256399119,-1.35993801024404,1.723471516181,796.645114574397,1.00842000940504
"A3[9]",2.75870768882438,0.567933908196529,1.62366814290237,3.86672343556871,611.295244972609,1.00505047530679
"A4[1]",3.31646040486391,0.00350568458078734,3.30952927112686,3.32308823829605,307.002874926321,0.999348262473719
"A4[2]",3.29816914961501,0.00560736864018645,3.28734073493062,3.30876336872502,614.864546076344,1.00073452494028
"A4[3]",3.2972493011696,0.00742715496329043,3.2829620791606,3.31129145646384,699.653171644287,0.999518173185811
"A4[4]",3.28458130418805,0.00808856901599787,3.26935709051435,3.3000381685713,655.212160727448,1.00076383038045
"A4[5]",3.27695119551438,0.0103885404528211,3.25663866697713,3.29621695134785,738.128612894965,1.00169600494554
"A4[6]",3.26527534608284,0.0150657935631461,3.23535867933587,3.294811497966,769.265480864568,1.00020196293973
"A4[7]",3.23685315883626,0.0251687671473627,3.18829435401386,3.28640482055479,658.496095246239,1.00504286527951
"A4[8]",3.21646155955233,0.0353498537511754,3.14730788048435,3.28576284291871,1072.25817948556,1.00138167215103
"A4[9]",3.22973901754985,0.0279603745047614,3.17587799646722,3.28385274954309,290.411680331171,1.00822059556515
"A5[1]",0.859364686759818,0.0171479019952006,0.826762958842422,0.892414278308626,310.987671194018,1.00337037583481
"A5[2]",0.884209013928837,0.02542269132968,0.836761110243865,0.93552331706884,525.370352437566,1.0005181188234
"A5[3]",0.963315529789489,0.0348683298247317,0.893827138146951,1.02913726564466,528.572619875292,1.00334135735733
"A5[4]",0.927069192521855,0.0373003802886273,0.854135083231364,0.99830941534244,621.792872547406,0.999490029092394
"A5[5]",0.927294069849002,0.0487634293857026,0.832157305090881,1.02103481167034,576.561943181864,1.00043490349536
"A5[6]",0.999881586577045,0.0648420091334513,0.86939799982642,1.12558608395456,764.210047663812,1.00010420677382
"A5[7]",1.18154114219205,0.107652584765918,0.969085578453571,1.38603357895039,600.432156581481,1.00874744898794
"A5[8]",0.822687781236035,0.160905136338712,0.497081206424562,1.13499681593782,636.203748549437,1.00371579353791
