"","EAIC","EBIC","LOOIC","WAIC","Time (hrs)"
"Model 1 - whole",19916.7406578735,20294.7072958133,23284.2442999732,22569.621244748,3.31705555555556
"Model 1 - hippo",19950.2452591126,20342.0399447818,23333.5352521177,22618.3635433727,2.61381944444444
"Model 1",19915.4213898791,20247.2945353872,23314.3503611101,22582.7920272475,2.54779166666667
"Model 2 - whole",19887.0169395881,20260.3742282846,23283.4061615474,22559.8596215161,5.87752777777778
"Model 2 - hippo",19922.3072654556,20309.4926018817,23277.1962973692,22596.137236939,8.04072222222222
"Model 2",19892.0076602646,20219.2714565295,23302.8281205258,22583.6869573488,6.71252777777778
"Model 3 - 2S",19892.0076602646,20219.2714565295,23302.8281205258,22583.6869573488,4.95383333333333
"Model 3 - MJM-MRI",26645.1739783743,27018.5312670708,28103.5817990078,28005.327816578,11.4136388888889
"Model 3 - bCox",20010.6199650027,20333.2744120244,23340.1023495726,22661.3107388452,5.76116666666667
"Model 3 - NM",40317.4727650483,40584.815021152,40459.8314225008,40475.5542222714,0.976647222222222
