"","true.values","mean","bias","sd","se","cp","V7","V8"
"d01",2,1.94520307172263,-0.0547969282773653,0.0998901738037965,0.13240181198443,0.97,"AMSE.mu1",0.00027537952932369
"d02",1,0.976234666039876,-0.0237653339601245,0.0654206000172233,0.0659621509506842,0.96,"AMSE.mu2",3.52904332895859e-05
"d11",1,0.975177158755347,-0.0248228412446531,0.0664322663386103,0.0449481700276985,0.82,"AMSE.mu3",0.000236679272341905
"d_m1",0.08,0.0811881642300985,0.00118816423009847,0.00271203873368343,0.000442424697643747,0.18,"AMSE.mum",5.23676988854698e-07
"d_m2",0.05,0.0517687684357805,0.00176876843578046,0.00167779028649171,0.000441032401588797,0.25,"AMSE.phi1",0.00181565894210798
"d_m3",0.02,0.0209181196950013,0.000918119695001326,0.000773782466344659,0.000202301209196173,0.24,"AMSE.phi2",0.00121449648813998
"d_m4",0.015,0.0151828911913308,0.000182891191330792,0.000410076810061768,7.96612145150727e-05,0.28,"AMSE.psi1",0.00148538700493086
"d_m5",0.01,0.0101783117654854,0.000178311765485422,0.000301889893194174,5.90557268076869e-05,0.2,"AMSE.phi_m1",0.0310471541653837
"beta_2",-0.55,-0.550822102703799,-0.000822102703799343,0.00793620969741277,0.00816218551332424,0.94,"AMSE.phi_m2",0.0491429355242255
"beta_3",-0.6,-0.600832326978704,-0.000832326978703946,0.0141242251299032,0.0134930958628105,0.95,"AMSE.psi_m1",0.00122261775008837
"beta_m",-0.054,-0.0497656324650958,0.00423436753490416,0.00698841031151446,NA,0,"AMSE.psi_m2",0.00147381062998831
"sigma_1",1.1,1.10114544717403,0.00114544717402976,0.0102774888248369,0.0128124556949397,0.98,"AMSE.psi_m3",0.000985994099190771
"sigma_2",0.6,0.601678481708261,0.00167848170826068,0.00557506591955776,0.00699636365820962,0.99,"AMSE.psi_m4",0.0005991248971754
"sigma_3",1.36,1.36118105187586,0.00118105187585504,0.0123822097376426,0.0147433390553076,0.96,"AMSE.psi_m5",0.000677681794264201
"logh0",-1.5,-1.55944505179802,-0.0594450517980225,0.138733364905855,0.144519246798607,0.94,NA,NA
"gamma_x",0.3,0.310903526469983,0.0109035264699826,0.108515030615606,0.101809063734149,0.94,NA,NA
"gamma0",0.6,0.594774613668641,-0.00522538633135861,0.0501447919969579,0.0551825432128078,0.98,NA,NA
"gamma11",0.35,0.360130101168735,0.0101301011687353,0.0820907693561993,0.0897819011288804,0.97,NA,NA
"gamma12",0.3,0.286320976416092,-0.0136790235839083,0.086843652582091,0.09054900313803,0.98,NA,NA
"gamma13",0.1,0.102181476064704,0.00218147606470442,0.0979742430213526,0.108665696365703,0.95,NA,NA
"gamma_m1",-0.6,-0.550172085198977,0.0498279148010229,0.241475313137736,0.251629710765619,0.97,NA,NA
"gamma_m2",-1.1,-1.11410512508632,-0.0141051250863247,0.32339364086368,0.321361327460916,0.96,NA,NA
"gamma_m3",-0.5,-0.652669867819791,-0.152669867819791,0.532256034762621,0.497615087312688,0.93,NA,NA
"gamma_m4",0.7,0.846343531240089,0.146343531240089,0.668520610462258,0.581342793075789,0.92,NA,NA
"gamma_m5",-1.8,-1.72803683106588,0.0719631689341205,0.719049610588211,0.707283600059129,0.93,NA,NA
"xi_{i1}",0.582519759505765,0,0,0,0,0,NA,NA
"xi_{i2}",0.229953507092545,0,0,0,0,0,NA,NA
"xi_{mi1}",0.00196839309826266,0,0,0,0,0,NA,NA
"xi_{mi2}",0.00233175319832093,0,0,0,0,0,NA,NA
"xi_{mi3}",0.00132726423004635,0,0,0,0,0,NA,NA
"xi_{mi4}",0.000958382700594956,0,0,0,0,0,NA,NA
"xi_{mi5}",0.00060589312373782,0,0,0,0,0,NA,NA
