"","true.values","mean","bias","sd","se","cp","V7","V8"
"d01",2,1.86668177469726,-0.133318225302739,0.0939701461285769,0,0,"AMSE.mu1",0.00395910405294882
"d02",1,0.961523429482669,-0.0384765705173308,0.0624945093741613,NA,0,"AMSE.mu2",0.00069074102131109
"d11",1,0.974548532855511,-0.0254514671444891,0.0651222420676804,NA,0,"AMSE.mu3",0.000477411405566064
"d_m1",0.1,0.100696568766189,0.000696568766189135,0.00346224537855218,0,0,"AMSE.mum",0.000000681693192287527
"d_m2",0.07,0.0709027242959667,0.000902724295966661,0.00218853197779452,0,0,"AMSE.phi1",0.00206175844269578
"d_m3",0.05,0.0507335507437282,0.000733550743728224,0.00172606648538362,0,0,"AMSE.phi2",0.00153361898534796
"d_m4",0.03,0.030323536696141,0.000323536696140984,0.000792192320698433,0,0,"AMSE.psi1",0.00146862007303892
"d_m5",0.01,0.0103605796776954,0.000360579677695363,0.000284924297386,0,0,"AMSE.phi_m1",0.0615027127674554
"beta_2",-0.55,-0.591014847236632,-0.0410148472366324,0.00843785728889743,0.00395929269253785,0,"AMSE.phi_m2",0.0878806915727358
"beta_3",-0.6,-0.710143395094906,-0.110143395094906,0.0146419051761614,0.00994325293909672,0,"AMSE.psi_m1",0.00300682566858139
"beta_m",-0.05,-0.0482072675607189,0.0017927324392811,0.0083624507407467,NA,0,"AMSE.psi_m2",0.00317972694404208
"sigma_1",1.1,0.979886293158651,-0.120113706841349,0.00991737893241103,0.0096032256340093,0,"AMSE.psi_m3",0.00207848242173116
"sigma_2",0.6,0.529560441874278,-0.0704395581257217,0.00543274986040526,0.0052099208827668,0,"AMSE.psi_m4",0.000486328845660585
"sigma_3",1.36,1.26889955836332,-0.0911004416366816,0.0123921382447624,0.0124188752878084,0,"AMSE.psi_m5",0.000313551856873607
"sigma_m",0.4,0.399927991755796,-0.0000720082442040582,0.000192431832799907,0.399928037588682,0,NA,NA
"logh0",-1.5,-1.45302731981367,0.0469726801863326,0.13332136115025,0.132686398446891,0.92,NA,NA
"gamma_x",0.3,0.30271059751665,0.00271059751665048,0.104759560691239,0.0998481890265806,0.95,NA,NA
"gamma0",0.6,0.527307616088818,-0.0726923839111822,0.0413990773533981,0.0473313037413692,0.66,NA,NA
"gamma11",0.35,0.353596205182791,0.00359620518279141,0.0648336638222017,0.0770306148269401,0.99,NA,NA
"gamma12",0.3,0.288069982249381,-0.0119300177506186,0.0692838002837701,0.0773861915588348,0.98,NA,NA
"gamma13",0.1,0.106857850409866,0.0068578504098664,0.0708905099933449,0.0909756645789715,1,NA,NA
"gamma_m1",-0.6,-0.549324926667346,0.0506750733326536,0.228676454795125,0.219854396886313,0.96,NA,NA
"gamma_m2",-1.1,-1.00170741174622,0.098292588253776,0.282425945940754,0.262865117426432,0.91,NA,NA
"gamma_m3",-0.5,-0.616029678141755,-0.116029678141755,0.382762399718618,0.309618754129741,0.87,NA,NA
"gamma_m4",0.7,0.818805547433453,0.118805547433453,0.457039992360121,0.40191931031156,0.91,NA,NA
"gamma_m5",-1.8,-1.72852640727756,0.0714735927224364,0.658049984391239,0.686563997138903,0.96,NA,NA
