"","true.values","mean","bias","sd","se","cp","V7","V8"
"d01",2,1.92497681757253,-0.0750231824274701,0.111863438034563,0.137884185672007,0.98,"AMSE.mu1",0.000267386380694093
"d02",1,0.964358037768634,-0.0356419622313655,0.0760626480386551,0.0671975952210859,0.89,"AMSE.mu2",0.0000899142254306403
"d11",1,0.959471769306975,-0.0405282306930249,0.0805774252397756,0.0458231680270875,0.63,"AMSE.mu3",0.000411982090513861
"d_m1",0.1,0.101681947429785,0.00168194742978484,0.00354357815981981,0.000468198288872958,0.15,"AMSE.mum",0.00000112621406116972
"d_m2",0.07,0.0717125404364793,0.00171254043647928,0.00328592224510046,0.000535745304748385,0.23,"AMSE.phi1",0.00226826472961449
"d_m3",0.05,0.0515135097867831,0.00151350978678306,0.00274323875594701,0.000298491234173665,0.12,"AMSE.phi2",0.00126088790223361
"d_m4",0.03,0.0306576182019054,0.00065761820190539,0.000949143594595459,0.000107836061003399,0.07,"AMSE.psi1",0.00221732610740439
"d_m5",0.01,0.0104506917467022,0.000450691746702222,0.000324469353582753,0.0000528915025196976,0.11,"AMSE.phi_m1",0.152109354864154
"beta_2",-0.55,-0.551817391989229,-0.00181739198922859,0.00916654865731207,0.00880961304956185,0.94,"AMSE.phi_m2",0.178205589814205
"beta_3",-0.6,-0.599917075297826,0.0000829247021743029,0.0122815604421524,0.0143154264040056,1,"AMSE.psi_m1",0.00812502014149513
"beta_m",-0.05,-0.0465131644898138,0.00348683551018618,0.00996468398760461,NA,0,"AMSE.psi_m2",0.00974490342868157
"sigma_1",1.1,1.10473280733104,0.00473280733104331,0.0113169084971868,0.0134896371662926,0.99,"AMSE.psi_m3",0.00502954229276989
"sigma_2",0.6,0.602734058925395,0.00273405892539502,0.00602484882076336,0.00737674040015257,0.97,"AMSE.psi_m4",0.0015723086511453
"sigma_3",1.36,1.35910248271235,-0.000897517287654637,0.0137010625859921,0.0154447099691351,0.96,"AMSE.psi_m5",0.000489382403903865
"sigma_m",0.4,0.399911198585658,-0.0000888014143420324,0.00024924950254594,0.399911275482799,0,NA,NA
"logh0",-1,-1.02460502406842,-0.0246050240684172,0.124771294037551,0.120515847697311,0.96,NA,NA
"gamma_x",0.3,0.294593658361183,-0.00540634163881654,0.0925777968388033,0.0870883657338972,0.96,NA,NA
"gamma0",0.6,0.591039084317835,-0.00896091568216517,0.0466039932900224,0.0490237187035949,0.93,NA,NA
"gamma11",0.35,0.338128105290863,-0.0118718947091366,0.0728618263074307,0.0792357546332176,0.98,NA,NA
"gamma12",0.3,0.296098027147581,-0.00390197285241883,0.0869871986562938,0.0792338004574534,0.94,NA,NA
"gamma13",0.1,0.0911116678490985,-0.00888833215090153,0.084340711848598,0.0945736523135349,0.96,NA,NA
"gamma_m1",-0.6,-0.47439451196132,0.12560548803868,0.251702409331698,0.192341234154126,0.81,NA,NA
"gamma_m2",-1.1,-1.06429056927482,0.0357094307251757,0.313846123173873,0.230432954569897,0.84,NA,NA
"gamma_m3",-0.5,-0.594267875142804,-0.0942678751428043,0.379574745156651,0.271050794448238,0.8,NA,NA
"gamma_m4",0.7,0.702683239736821,0.00268323973682094,0.367625262150403,0.349777836148305,0.94,NA,NA
"gamma_m5",-1.8,-1.82481362713298,-0.02481362713298,0.663594479483003,0.594905089238932,0.92,NA,NA
"xi_{i1}",0.677051992809956,0,0,0,0,0,NA,NA
"xi_{i2}",0.253513285745357,0,0,0,0,0,NA,NA
"xi_{mi1}",0.00483320101849743,0,0,0,0,0,NA,NA
"xi_{mi2}",0.00837563109114683,0,0,0,0,0,NA,NA
"xi_{mi3}",0.00679955071993642,0,0,0,0,0,NA,NA
"xi_{mi4}",0.00163518331707365,0,0,0,0,0,NA,NA
"xi_{mi5}",0.000611283969392303,0,0,0,0,0,NA,NA
