"","true.values","mean","bias","sd","se","cp","V7","V8"
"d01",2,1.8610599926629,-0.138940007337099,0.104138735380674,0.129638808183582,0.86,"AMSE.mu1",0.0110858979723533
"d02",1,1.03342566049911,0.0334256604991052,0.0669732282707308,0.066642727477225,0.96,"AMSE.mu2",0.00333903134462072
"d11",1,0.993460166290229,-0.00653983370977118,0.0690305199938059,0.0455579512744726,0.77,"AMSE.mu3",0.0043577591930453
"d_m1",0.1,0.101289251804197,0.00128925180419748,0.00309029889492919,0.000500449665076746,0.22,"AMSE.mum",0.0000013302885807218
"d_m2",0.07,0.0719158379873455,0.00191583798734551,0.00227940196017031,0.000517021745659724,0.22,"AMSE.phi1",0.00850911138421377
"d_m3",0.05,0.0514914932621102,0.00149149326211015,0.00160407719959019,0.000292791228420866,0.15,"AMSE.phi2",0.00857935382770956
"d_m4",0.03,0.0305457657402672,0.000545765740267164,0.000894608798599107,0.000119670909561564,0.11,"AMSE.psi1",0.00192977546383262
"d_m5",0.01,0.0104355790609926,0.000435579060992609,0.000289943847979696,0.0000527060529548966,0.06,"AMSE.phi_m1",0.107714782584084
"beta_2",-0.55,-0.551385552980995,-0.00138555298099508,0.00854373719613404,0.00817868020724541,0.95,"AMSE.phi_m2",0.109757037494917
"beta_3",-0.6,-0.598368973312105,0.00163102668789528,0.0155667618602956,0.0134884577395756,0.92,"AMSE.psi_m1",0.00597619462990008
"beta_m",-0.05,-0.0489121051084918,0.00108789489150821,0.00890725865973464,NA,0,"AMSE.psi_m2",0.00902016843887734
"sigma_1",1.1,1.10104142613721,0.00104142613720626,0.00980129483017303,0.0127849343881032,0.98,"AMSE.psi_m3",0.00372355517408436
"sigma_2",0.6,0.601362556843229,0.00136255684322917,0.0064362163103661,0.00699718650554518,0.96,"AMSE.psi_m4",0.000188082569806037
"sigma_3",1.36,1.36372797165564,0.00372797165564442,0.0114913280239672,0.014827133367546,0.98,"AMSE.psi_m5",0.000201709654594339
"sigma_m",0.4,0.399915582877517,-0.0000844171224834156,0.000202177872074317,0.399915633472107,0,NA,NA
"logh0",-1.5,-1.37846722112952,0.121532778870483,0.145198432067302,0.143253060811517,0.81,NA,NA
"gamma_x",0.3,0.273618466649134,-0.026381533350866,0.106058788101476,0.102617610599753,0.91,NA,NA
"gamma0",0.6,0.470025666352501,-0.129974333647499,0.0560954849998437,0.058275433054362,0.41,NA,NA
"gamma11",0.35,-0.105831525177464,-0.455831525177464,0.0895798312381451,0.100078865927623,0,NA,NA
"gamma12",0.3,-0.0976068980761443,-0.397606898076144,0.110403925946776,0.0998948198466118,0.02,NA,NA
"gamma13",0.1,-0.0867290629234456,-0.186729062923446,0.129088324660636,0.118325968513916,0.6,NA,NA
"gamma_m1",-0.6,-0.627859076286728,-0.0278590762867279,0.236989077505799,0.227931940179283,0.94,NA,NA
"gamma_m2",-1.1,-0.74953502925608,0.35046497074392,0.327492821262512,0.273570475934108,0.71,NA,NA
"gamma_m3",-0.5,-0.712764102553558,-0.212764102553558,0.370886206290318,0.317910322339649,0.84,NA,NA
"gamma_m4",0.7,0.90639910468815,0.20639910468815,0.404609436392843,0.411293759980456,0.94,NA,NA
"gamma_m5",-1.8,-2.00184937598609,-0.201849375986086,0.672065138615219,0.712757360058869,0.97,NA,NA
"xi_{i1}",0.704287256477078,0,0,0,0,0,NA,NA
"xi_{i2}",0.251013441850698,0,0,0,0,0,NA,NA
"xi_{mi1}",0.00390781452687905,0,0,0,0,0,NA,NA
"xi_{mi2}",0.00549900884144312,0,0,0,0,0,NA,NA
"xi_{mi3}",0.00378480949751577,0,0,0,0,0,NA,NA
"xi_{mi4}",0.00164427952950833,0,0,0,0,0,NA,NA
"xi_{mi5}",0.000579725805204278,0,0,0,0,0,NA,NA
